"Date" "pv" "ghidfm" "Mean" "cfcdfm" "Year" "B0" "Kt" "taxdfs" "taxdfm"
"1325" 2013-08-17 5.59366358933191 327.459854014599 NA 2.51985559566787 "2013" 10543.7672109033 0.745372724866623 2022.4599609375 32.1025390625
"1326" 2013-08-18 5.39102221032914 298.248175182482 0.0271706666666667 23.0902527075812 "2013" 10514.8593667448 0.680746737043192 1652.22995758057 26.2258723425487
"1327" 2013-08-19 5.02987579163322 307.105839416058 0.123918666666667 25.4187725631769 "2013" 10485.4045907804 0.702933309074803 1674.09995651245 26.5730151827373
"1328" 2013-08-20 3.92736486486486 226.653284671533 0.277472 70.1552346570397 "2013" 10455.4024158487 0.520274458673261 1860.27995109558 29.5282531919934
"1329" 2013-08-21 2.11001471768799 155.981751824818 NA 97.8628158844765 "2013" 10424.8526182454 0.359099757174859 1921.16996955872 30.4947614215669
"1330" 2013-08-22 3.83210128445277 260.85401459854 NA 88.0902527075812 "2013" 10393.7552264228 0.602332478876322 1982.54996681213 31.4690470922561
"1331" 2013-08-23 5.01702011417358 305.368613138686 0.336227666666667 32.3249097472924 "2013" 10362.1105295533 0.707273551505381 1958.25993919373 31.0834910983131
"1332" 2013-08-24 5.33137097493533 310.197080291971 0.313076666666667 10.1768953068592 "2013" 10329.9190859525 0.720695860738277 1804.26995277405 28.6392055995881
"1333" 2013-08-25 4.8229306038712 270.923357664234 0.055916 30.1768953068592 "2013" 10297.1817313554 0.631450503018921 1629.38995742798 25.863332657587
"1334" 2013-08-26 4.24480978503256 265.817518248175 0.026354 37.1191335740072 "2013" 10263.8995870417 0.621559124176403 1641.15996360779 26.0501581525046
"1335" 2013-08-27 3.17909865310855 227.832116788321 0.0357166666666667 52.7220216606498 "2013" 10230.0740678051 0.534499629883216 1600.90996551514 25.4112692938911
"1336" 2013-08-28 3.62062371777718 244.722627737226 0.0244153333333333 50.2057761732852 "2013" 10195.7068897607 0.576060407502681 1621.47997283936 25.7377773466564
"1337" 2013-08-29 3.497859245384 226.810218978102 0.0518383333333333 54.3104693140794 "2013" 10160.8000779872 0.535729983238957 1639.87996292114 26.029840681288
"1338" 2013-08-30 4.27828695031665 261.861313868613 0.0078005 33.158844765343 "2013" 10125.3559739978 0.620686477491353 1631.90995597839 25.9033326345777
"1339" 2013-08-31 5.51635112835608 300.810218978102 0.0945053333333333 20.0974729241877 "2013" 10089.3772430354 0.715549144567665 1650.49996757507 26.1984121837313
"1340" 2013-09-01 5.44742328962626 305.824817518248 0.0926943333333333 12.7039711191336 "2013" 10052.8668811874 0.730119647179789 1735.31995201111 27.5447611430335
"1341" 2013-09-02 5.64510859869771 306.36496350365 0.0448823333333333 7.11552346570397 "2013" 10015.828222315 0.734113940543215 1773.32995986938 28.1480946011013
"1342" 2013-09-03 5.52004170011596 304.452554744526 0.029009 7.96750902527076 "2013" 9978.26494479169 0.732277741099924 1757.58996009827 27.8982533348931
"1343" 2013-09-04 5.44020381767907 288.740875912409 0.0495906666666667 17.4043321299639 "2013" 9940.18107804724 0.697148368574707 1661.55996322632 26.373967670259
"1344" 2013-09-05 4.5282646507894 258.835766423358 0.100326666666667 34.9783393501805 "2013" 9901.58100890971 0.627380454552743 1611.82996559143 25.5846026284354
"1345" 2013-09-06 4.62643274462581 215.671532846715 0.143475 54.057761732852 "2013" 9862.4694877424 0.524829688421781 1548.99996948242 24.5873011028956
"1346" 2013-09-07 4.33011105164571 235.186131386861 0.0205433333333333 41.7111913357401 "2013" 9822.8516343691 0.574626123185582 1510.72996139526 23.9798406570677
"1347" 2013-09-08 5.62066831683168 278.42700729927 0.0320785 21.7978339350181 "2013" 9782.7329437822 0.683065582346255 1538.14996147156 24.4150787535168
"1348" 2013-09-09 5.39382637588083 267.664233576642 0.042091 30.5451263537906 "2013" 9742.11929162809 0.659398783112812 1551.69996261597 24.6301581367614
"1349" 2013-09-10 4.95033337793239 245.879562043796 0.0580553333333333 45.1552346570397 "2013" 9701.01693946378 0.608298029564855 1523.81997108459 24.1876185886444
"1350" 2013-09-11 3.92601574346624 244.525547445255 0.0650015 56.4007220216606 "2013" 9659.43253977821 0.607552577702549 1548.01996707916 24.5717455091931
"1351" 2013-09-12 2.62417491749175 152.259124087591 NA 81.2599277978339 "2013" 9617.3731407724 0.379960195431151 1432.94996738434 22.7452375775292
"1352" 2013-09-13 4.5520693961288 222.452554744526 0.0169325 59.942238267148 "2013" 9574.84619089139 0.557592383984978 1553.96997070312 24.6661900111607
"1353" 2013-09-14 5.34221412006065 255.434306569343 0.0228896666666667 25.7364620938628 "2013" 9531.85954310101 0.643150828014595 1541.92996406555 24.4750787946913
"1354" 2013-09-15 4.19542748193738 234.160583941606 0.0667375 35.4043321299639 "2013" 9488.42145890289 0.592285454323436 1518.26996803284 24.0995233021085
"1355" 2013-09-16 4.57032713406476 235.313868613139 0.0431385 34.4981949458484 "2013" 9444.54061207929 0.597967977340507 1537.91995811462 24.4114279065813
