,Date,pv,ghidfm,Mean,cfcdfm,dnidfm,Kt,km,PC1,PC2,PC3,Month
943,2012-07-31,4.94635030724742,321.660583941606,0.251433,27.8308823529412,308.098540145985,0.704989377674124,8,1.9517241555444,-0.929410599854546,0.157069804235173,7
944,2012-08-01,5.18932992951383,320.390510948905,0.293551,19.5257352941176,309.770072992701,0.703485969942381,8,2.26839396640143,-1.13146936705141,-0.0794861535509385,8
945,2012-08-02,4.64210758178204,291.456204379562,0.53162675,39.8602941176471,235.321167883212,0.641153487099808,9,0.841293592787563,-3.17539761691424,0.104976532518447,8
946,2012-08-03,4.53626536237123,307.616788321168,0.8078165,32.0147058823529,265.06204379562,0.678006306146118,11,1.75712137974307,-5.03324080620532,-0.567078375675284,8
947,2012-08-04,4.63007748960781,290.036496350365,0.540931,59.9227941176471,241.193430656934,0.640521455127262,9,0.461390525292968,-3.40829805760971,0.775202441855712,8
948,2012-08-05,4.92163496294957,317.934306569343,0.29623375,31.0514705882353,308.620437956204,0.703555465996555,8,1.89474722699151,-1.27282793842189,0.17857356269029,8
949,2012-08-06,5.2098149737936,317.967153284672,0.03472675,21.7683823529412,327.583941605839,0.705092281590043,6,2.06586940538416,0.728503803160105,0.29033296977186,8
950,2012-08-07,5.22657803180915,313.14598540146,0.03323875,22.2867647058824,320.813868613139,0.695883261874558,6,1.93414093127449,0.725824305262837,0.313479861182473,8
951,2012-08-08,5.48592535694921,330.540145985401,0.0198805,11.5661764705882,362.901459854015,0.736144268826775,6,2.86761025528676,1.00897964080456,0.0571177397276256,8
952,2012-08-09,4.91924588830652,294.886861313869,0.23351875,47.1360294117647,266.405109489051,0.658213691289877,9,0.817587234783476,-1.03281015785248,0.807606051670556,8
953,2012-08-10,4.83653194469546,316.20802919708,0.323548666666667,37.1360294117647,307.083941605839,0.707425955816421,9,1.76238873470915,-1.52398233740816,0.295907826489233,8
954,2012-08-11,4.67918059822881,316.897810218978,0.457039333333333,5.69485294117647,310.638686131387,0.710637356385271,8,2.52654816668824,-2.20527692272627,-1.04789026217512,8
955,2012-08-12,4.95202082956805,318.824817518248,0.30845,7.59191176470588,324.047445255474,0.71668110204341,8,2.58312985155183,-1.11614048722486,-0.685491471667089,8
956,2012-08-13,5.0535649737936,321.638686131387,0.287303,4.23529411764706,332.806569343066,0.724789239753135,8,2.79502803064964,-0.910954168304041,-0.738683660276405,8
957,2012-08-14,5.15351075365986,323.445255474453,0.203544333333333,4.91544117647059,344.386861313869,0.730699315413577,8,2.85649286321235,-0.291137194414515,-0.578020131641525,8
958,2012-08-15,5.15676396168444,327.48905109489,0.13184,5.76838235294118,363.372262773723,0.741744329625326,6,2.9768929335304,0.244790190810958,-0.47501267844626,8
959,2012-08-16,5.03792585396711,321.441605839416,0.0289113333333333,11.6470588235294,353.040145985401,0.729968958449761,6,2.52130156292902,0.900221243090452,-0.200851783147776,8
960,2012-08-17,3.50386318452919,277.857664233577,0.0261736666666667,30.4264705882353,265.656934306569,0.63269600846402,1,0.0611476678555714,0.472799174495967,-0.231787162180516,8
961,2012-08-18,4.90754902403759,314.251824817518,0.0231336666666667,14.6764705882353,333.744525547445,0.717541008009898,6,2.15274313785575,0.875129805363561,-0.150585911242661,8
962,2012-08-19,4.76462249231881,315.817518248175,0.182419,9.76838235294118,330.313868613139,0.723148291566454,8,2.3797116808128,-0.232279282721139,-0.586089090793201,8
963,2012-08-20,4.55053768299295,307.967153284672,0.439229666666667,13.7095588235294,302.609489051095,0.707202897329679,8,2.15759816139259,-2.15918482810707,-0.85526146924718,8
964,2012-08-21,4.56061923911079,305.624087591241,0.6454955,23.9669117647059,300.934306569343,0.703885755357336,11,2.12851636786815,-3.71990629269491,-0.75390211387791,8
965,2012-08-22,4.62400031628411,299.423357664234,0.2410015,36.8088235294118,292.598540145985,0.691674772424908,9,1.29679012481942,-0.957580348287814,0.219253064968059,8
968,2012-08-25,4.89203415868426,297.394160583942,0.156805,48.6102941176471,293.485401459854,0.69345136832313,5,1.08528087750118,-0.430828694274297,0.8393158645781,8
969,2012-08-26,4.76006461232604,294.222627737226,0.23093,28.7683823529412,284.018248175182,0.688288007201548,8,1.40159281040875,-0.809670585225155,-0.00812743563566126,8
970,2012-08-27,4.8395987710103,304.361313868613,0.322807333333333,7.58088235294118,312.5,0.714367786515319,8,2.36798727236787,-1.2211833276259,-0.846801116854075,8
971,2012-08-28,4.99112710103018,301.78102189781,0.194546333333333,7.83823529411765,312.328467153285,0.710706883282599,8,2.25381730114762,-0.294929870105698,-0.617975420649719,8
972,2012-08-29,5.12488139345744,308.346715328467,0.153060666666667,5.27573529411765,336.565693430657,0.728672183386602,6,2.62333098880392,0.0772350764162707,-0.616131834055633,8
973,2012-08-30,5.35823129405386,310.200729927007,0.0552236666666667,3.13235294117647,351.558394160584,0.735627914386123,6,2.81491894291676,0.840187076411446,-0.480455510312426,8
974,2012-08-31,5.37528239652991,307.21897810219,0.0246366666666667,13.6580882352941,346.485401459854,0.731163262334691,6,2.49644017624163,0.960550272185082,-0.0722569012521886,8
975,2012-09-01,5.19819153262245,303.240875912409,0.0308606666666667,9.82352941176471,334.521897810219,0.724325157504822,6,2.3611188584583,0.916803927157634,-0.296329064120607,9
976,2012-09-02,5.16832527561901,303.802919708029,0.0458493333333333,8.18382352941176,338.992700729927,0.728359836070882,6,2.45341853524839,0.831449897043892,-0.396858681289531,9
977,2012-09-03,5.10023947225736,303.777372262774,0.029533,5.60661764705882,343.56204379562,0.731049080150298,6,2.50401868165918,0.97401772465077,-0.509918969735187,9
978,2012-09-04,5.08428406831737,301.302919708029,0.0335906666666667,8.45955882352941,340.306569343066,0.727881188829341,6,2.38792861141615,0.915174162486061,-0.429437934237786,9
979,2012-09-05,4.79046177480571,290.682481751825,0.07024,15.8235294117647,313.883211678832,0.704970826557805,3,1.77677595221189,0.520528880941731,-0.346277541164234,9
980,2012-09-06,4.53242476956443,274.405109489051,0.0962833333333333,20.7794117647059,274.828467153285,0.668142044851344,3,1.02195635425323,0.203681386112024,-0.310292356738587,9
981,2012-09-07,5.0137244713537,288.726277372263,0.0664006666666667,10.4338235294118,317.42700729927,0.705856675328296,3,1.99717169822762,0.625030131861857,-0.446560760419537,9
982,2012-09-08,4.741059325863,284.470802919708,0.108700333333333,16.5404411764706,299.032846715328,0.698314217901916,3,1.60646370537525,0.218221179089561,-0.406519768033728,9
983,2012-09-09,4.62445779866257,277.580291970803,0.129066333333333,33.5514705882353,283.901459854015,0.684249072367851,5,1.00594647699293,-0.110771727530097,0.109604466962727,9
984,2012-09-10,4.86247288993313,270.306569343066,0.0487045,20.9264705882353,276.076642335766,0.66915091970557,3,1.10072204327646,0.581224148915172,-0.127735573138518,9
985,2012-09-11,4.11971918489066,259.193430656934,0.0475586666666667,27.3860294117647,254.160583941606,0.644410910963137,1,0.287130711387272,0.430217187924484,-0.240078123155369,9
986,2012-09-12,4.4116833092355,272.908759124088,0.040255,27.2610294117647,283.587591240876,0.681486629932337,3,0.899093628993526,0.564276213493988,-0.125938220794215,9
987,2012-09-13,5.14001219953009,288.463503649635,0.0510065,11.9742647058824,328.616788321168,0.72353788143724,6,2.17569657630176,0.76698390882329,-0.375578691955229,9
988,2012-09-14,4.93657373938189,286.51094890511,0.0973125,9.46323529411765,324.620437956204,0.721891150877181,3,2.1393675518881,0.437018018509561,-0.621361252470849,9
989,2012-09-15,4.6983327308874,283.48905109489,0.08033875,13.3308823529412,317.51094890511,0.717557025635199,3,1.84677726548791,0.49344512051131,-0.579897744136506,9
990,2012-09-16,4.62124977408278,274.361313868613,0.04831075,22.3823529411765,299.087591240876,0.697689429830269,3,1.30214009958716,0.604958027328083,-0.256691045840623,9
991,2012-09-17,3.96423730345202,264.521897810219,0.0988066666666667,47.1507352941176,273.423357664234,0.675848705407203,5,0.205731521235121,-0.0729668505154592,0.251610793046484,9
992,2012-09-18,4.40314928610157,266.883211678832,0.1063825,20.5257352941176,280.06204379562,0.685152227319449,3,1.0629974749774,0.160925694474769,-0.498888204486553,9
993,2012-09-19,4.72760595517802,272.518248175182,0.0494346666666667,14.1470588235294,300.908759124088,0.703021574047018,3,1.54887683069184,0.690204165581965,-0.526632231421682,9
994,2012-09-20,3.33698377914332,248.401459854015,0.0445025,23.9742647058824,242.671532846715,0.643967018945021,1,-0.13716399043841,0.414883302406316,-0.7872399825901,9
995,2012-09-21,4.5357231610338,268.565693430657,0.0594065,19.5625,298.744525547445,0.699721911059113,3,1.30652487996215,0.555395711400903,-0.457004993806103,9
996,2012-09-22,4.83583724923188,265.328467153285,0.09750875,23.6948529411765,289.514598540146,0.694789313472234,3,1.28510761922559,0.261227095893057,-0.223005088807407,9
997,2012-09-23,3.73753501716971,195.313868613139,0.0441035,67.2647058823529,150.861313868613,0.514073738929922,7,-2.51915870321721,-0.0940206921633307,0.955155790742862,9
998,2012-09-24,3.10509669257184,179.762773722628,0.045247,44.6176470588235,122.138686131387,0.475601992126112,2,-2.83533664384698,-0.0107260034064504,-0.115560679206236,9
999,2012-09-25,3.18118561359118,179.386861313869,0.084628,37.75,126.777372262774,0.477105469359587,2,-2.58218433917692,-0.214941753556684,-0.380048265511678,9
1000,2012-09-26,4.68492454364721,245.419708029197,0.06939875,19.6139705882353,249.043795620438,0.656207370697897,3,0.66220008992423,0.42226083816174,-0.407242727807841,9
1002,2012-09-28,2.91098296584132,208.777372262774,0.02186025,40.6617647058824,193.653284671533,0.564305043380221,2,-1.71123150659264,0.314117798721543,-0.405870666585388,9
1003,2012-09-29,2.82616234411712,184.846715328467,0.02090875,51.6066176470588,138.824817518248,0.502380241856948,2,-2.83481495518278,0.118305507434667,-0.0209342830648206,9
1004,2012-09-30,4.57594772275438,205.178832116788,0.0291283333333333,42.6875,183.92700729927,0.560751539480875,7,-1.12128502588247,0.380294270798635,0.419041006515733,9
1005,2012-10-01,4.28465005422013,213.204379562044,0.03639675,38.6507352941176,212.142335766423,0.585972951072228,1,-0.779780987721076,0.390695157745346,0.0995083315311221,10
1006,2012-10-02,3.10550334357491,204.686131386861,0.04522775,37.3676470588235,204.43795620438,0.56576932762617,2,-1.47944163042529,0.219384142239058,-0.50368339669178,10
1007,2012-10-03,2.23742205855774,172.576642335766,0.0532215,73125,115.828467153285,0.479764484560141,4,-3.85617092390517,-0.387499090984529,0.409598119579576,10
1008,2012-10-04,2.52809280679559,168.233576642336,0.031558,53.1139705882353,133.79197080292,0.470412603651348,4,-3.30205541735354,-0.00459519741200995,-0.150726264757433,10
1009,2012-10-05,4.16702060365082,227.729927007299,0.0522865,27.6911764705882,256.78102189781,0.640517727603859,1,0.102744113934896,0.4571406177033,-0.43893249230098,10
1010,2012-10-06,5.04860609072836,257.328467153285,0.0313825,14.8897058823529,338.346715328467,0.728060889765927,3,1.94701907994683,0.95056472740479,-0.544310085960179,10
1011,2012-10-07,5.10000790710284,253.850364963504,0.02249825,11.9816176470588,328.985401459854,0.722520134545198,3,1.90451297195729,1.03086016513613,-0.613568447820208,10
1012,2012-10-08,5.00115782577264,250.57299270073,0.0614395,8.70220588235294,321.675182481752,0.717499455716694,3,1.87272876923444,0.763559009465317,-0.826300811215074,10
1013,2012-10-09,4.91084176757636,246.204379562044,0.08211475,16.0955882352941,305.79197080292,0.709284482218126,3,1.52474181966556,0.519088156195495,-0.631238834524235,10
1014,2012-10-10,4.69637854690042,242.233576642336,0.1541745,6.74264705882353,297.259124087591,0.702130638902888,3,1.57775354157783,0.0563600422850765,-1.1490065402807,10
1015,2012-10-11,4.61727363094162,236.536496350365,0.10116275,21.9963235294118,280.357664233577,0.689860770246168,3,0.956847404035135,0.265864326048999,-0.580721579522551,10
1016,2012-10-12,3.80655272908006,207.452554744526,0.0464655,29.4191176470588,221.729927007299,0.608810071765968,1,-0.635329020354567,0.405253498007727,-0.57120045170828,10
1017,2012-10-13,3.69524896078077,178.810218978102,0.033453,62.3308823529412,151.86496350365,0.528049177608207,7,-2.46829196025135,0.0673883292643223,0.614192116919426,10
1018,2012-10-14,4.56283887583589,221.098540145985,0.026371,31.8051470588235,257.536496350365,0.657060415371665,1,0.219488661063564,0.670111866459399,-0.175165434715638,10
1019,2012-10-15,3.09083001988072,185.503649635037,0.01963975,32.2610294117647,179.839416058394,0.554787660511717,2,-1.75503388276393,0.433012492549001,-0.748220890485549,10
1020,2012-10-16,3.60388238749322,193.959854014599,0.02754875,68.1691176470588,180.795620437956,0.58379137151536,7,-2.0355336150359,0.119546138923793,0.717153227933979,10
